2024-01-02 13:06:44 - Service is started at 02-01-2024 13:06:44
2024-01-02 13:07:45 - MobileNumber: 73732232, CallData: 02-01-2024 12:39:42
2024-01-02 14:46:01 - MobileNumber: 32212332, CallData: 02-01-2024 12:55:00
2024-01-02 14:46:01 - MobileNumber: 98989898, CallData: 02-01-2024 13:06:59
2024-01-02 14:46:01 - MobileNumber: 221221, CallData: 02-01-2024 13:07:12
2024-01-02 14:46:01 - MobileNumber: 221221, CallData: 02-01-2024 13:07:12
2024-01-02 14:46:01 - MobileNumber: 211112, CallData: 02-01-2024 13:10:42
2024-01-02 14:46:01 - MobileNumber: 23232323, CallData: 02-01-2024 14:20:20
2024-01-02 14:47:01 - MobileNumber: 73732232, CallData: 02-01-2024 12:39:42
2024-01-02 14:47:01 - MobileNumber: 9811765, CallData: 02-01-2024 12:43:13
2024-01-02 14:47:01 - MobileNumber: 777764453, CallData: 02-01-2024 12:49:58
2024-01-02 14:47:01 - MobileNumber: 21322324, CallData: 02-01-2024 12:50:28
2024-01-02 14:47:01 - MobileNumber: 41145423, CallData: 02-01-2024 12:50:43
2024-01-02 14:47:01 - MobileNumber: 32212332, CallData: 02-01-2024 12:55:00
2024-01-02 14:47:01 - MobileNumber: 98989898, CallData: 02-01-2024 13:06:59
2024-01-02 14:47:01 - MobileNumber: 221221, CallData: 02-01-2024 13:07:12
2024-01-02 14:47:01 - MobileNumber: 221221, CallData: 02-01-2024 13:07:12
2024-01-02 14:47:01 - MobileNumber: 211112, CallData: 02-01-2024 13:10:42
2024-01-02 14:47:01 - MobileNumber: 23232323, CallData: 02-01-2024 14:20:20
2024-01-02 14:48:01 - MobileNumber: 73732232, CallData: 02-01-2024 12:39:42
2024-01-02 14:48:01 - MobileNumber: 9811765, CallData: 02-01-2024 12:43:13
2024-01-02 14:48:01 - MobileNumber: 777764453, CallData: 02-01-2024 12:49:58
2024-01-02 14:48:01 - MobileNumber: 21322324, CallData: 02-01-2024 12:50:28
2024-01-02 14:48:01 - MobileNumber: 41145423, CallData: 02-01-2024 12:50:43
2024-01-02 14:48:01 - MobileNumber: 32212332, CallData: 02-01-2024 12:55:00
2024-01-02 14:48:01 - MobileNumber: 98989898, CallData: 02-01-2024 13:06:59
2024-01-02 14:48:01 - MobileNumber: 221221, CallData: 02-01-2024 13:07:12
2024-01-02 14:48:01 - MobileNumber: 221221, CallData: 02-01-2024 13:07:12
2024-01-02 14:48:01 - MobileNumber: 211112, CallData: 02-01-2024 13:10:42
2024-01-02 14:48:01 - MobileNumber: 23232323, CallData: 02-01-2024 14:20:20
2024-01-02 14:49:01 - MobileNumber: 73732232, CallData: 02-01-2024 12:39:42
2024-01-02 14:49:01 - MobileNumber: 9811765, CallData: 02-01-2024 12:43:13
2024-01-02 14:49:01 - MobileNumber: 777764453, CallData: 02-01-2024 12:49:58
2024-01-02 14:49:01 - MobileNumber: 21322324, CallData: 02-01-2024 12:50:28
2024-01-02 14:49:01 - MobileNumber: 41145423, CallData: 02-01-2024 12:50:43
2024-01-02 14:49:01 - MobileNumber: 32212332, CallData: 02-01-2024 12:55:00
2024-01-02 14:49:01 - MobileNumber: 98989898, CallData: 02-01-2024 13:06:59
2024-01-02 14:49:01 - MobileNumber: 221221, CallData: 02-01-2024 13:07:12
2024-01-02 14:49:01 - MobileNumber: 221221, CallData: 02-01-2024 13:07:12
2024-01-02 14:49:01 - MobileNumber: 211112, CallData: 02-01-2024 13:10:42
2024-01-02 14:49:01 - MobileNumber: 23232323, CallData: 02-01-2024 14:20:20
2024-01-02 14:50:01 - MobileNumber: 73732232, CallData: 02-01-2024 12:39:42
2024-01-02 14:50:01 - MobileNumber: 9811765, CallData: 02-01-2024 12:43:13
2024-01-02 14:50:01 - MobileNumber: 777764453, CallData: 02-01-2024 12:49:58
2024-01-02 14:50:01 - MobileNumber: 21322324, CallData: 02-01-2024 12:50:28
2024-01-02 14:50:01 - MobileNumber: 41145423, CallData: 02-01-2024 12:50:43
2024-01-02 14:50:01 - MobileNumber: 32212332, CallData: 02-01-2024 12:55:00
2024-01-02 14:50:01 - MobileNumber: 98989898, CallData: 02-01-2024 13:06:59
2024-01-02 14:50:01 - MobileNumber: 221221, CallData: 02-01-2024 13:07:12
2024-01-02 14:50:01 - MobileNumber: 221221, CallData: 02-01-2024 13:07:12
2024-01-02 14:50:01 - MobileNumber: 211112, CallData: 02-01-2024 13:10:42
2024-01-02 14:50:01 - MobileNumber: 23232323, CallData: 02-01-2024 14:20:20
2024-01-02 14:51:01 - MobileNumber: 73732232, CallData: 02-01-2024 12:39:42
2024-01-02 14:51:01 - MobileNumber: 9811765, CallData: 02-01-2024 12:43:13
2024-01-02 14:51:01 - MobileNumber: 777764453, CallData: 02-01-2024 12:49:58
2024-01-02 14:51:01 - MobileNumber: 21322324, CallData: 02-01-2024 12:50:28
2024-01-02 14:51:01 - MobileNumber: 41145423, CallData: 02-01-2024 12:50:43
2024-01-02 14:51:01 - MobileNumber: 32212332, CallData: 02-01-2024 12:55:00
2024-01-02 14:51:01 - MobileNumber: 98989898, CallData: 02-01-2024 13:06:59
2024-01-02 14:51:01 - MobileNumber: 221221, CallData: 02-01-2024 13:07:12
2024-01-02 14:51:01 - MobileNumber: 221221, CallData: 02-01-2024 13:07:12
2024-01-02 14:51:01 - MobileNumber: 211112, CallData: 02-01-2024 13:10:42
2024-01-02 14:51:01 - MobileNumber: 23232323, CallData: 02-01-2024 14:20:20
2024-01-02 14:52:01 - MobileNumber: 73732232, CallData: 02-01-2024 12:39:42
2024-01-02 14:52:01 - MobileNumber: 9811765, CallData: 02-01-2024 12:43:13
2024-01-02 14:52:01 - MobileNumber: 777764453, CallData: 02-01-2024 12:49:58
2024-01-02 14:52:01 - MobileNumber: 21322324, CallData: 02-01-2024 12:50:28
2024-01-02 14:52:01 - MobileNumber: 41145423, CallData: 02-01-2024 12:50:43
2024-01-02 14:52:01 - MobileNumber: 32212332, CallData: 02-01-2024 12:55:00
2024-01-02 14:52:01 - MobileNumber: 98989898, CallData: 02-01-2024 13:06:59
2024-01-02 14:52:01 - MobileNumber: 221221, CallData: 02-01-2024 13:07:12
2024-01-02 14:52:01 - MobileNumber: 221221, CallData: 02-01-2024 13:07:12
2024-01-02 14:52:01 - MobileNumber: 211112, CallData: 02-01-2024 13:10:42
2024-01-02 14:52:01 - MobileNumber: 23232323, CallData: 02-01-2024 14:20:20
2024-01-02 14:53:01 - MobileNumber: 73732232, CallData: 02-01-2024 12:39:42
2024-01-02 14:53:01 - MobileNumber: 9811765, CallData: 02-01-2024 12:43:13
2024-01-02 14:53:01 - MobileNumber: 777764453, CallData: 02-01-2024 12:49:58
2024-01-02 14:53:01 - MobileNumber: 21322324, CallData: 02-01-2024 12:50:28
2024-01-02 14:53:01 - MobileNumber: 41145423, CallData: 02-01-2024 12:50:43
2024-01-02 14:53:01 - MobileNumber: 32212332, CallData: 02-01-2024 12:55:00
2024-01-02 14:53:01 - MobileNumber: 98989898, CallData: 02-01-2024 13:06:59
2024-01-02 14:53:01 - MobileNumber: 221221, CallData: 02-01-2024 13:07:12
2024-01-02 14:53:01 - MobileNumber: 221221, CallData: 02-01-2024 13:07:12
2024-01-02 14:53:01 - MobileNumber: 211112, CallData: 02-01-2024 13:10:42
2024-01-02 14:53:01 - MobileNumber: 23232323, CallData: 02-01-2024 14:20:20
2024-01-02 14:54:01 - MobileNumber: 73732232, CallData: 02-01-2024 12:39:42
2024-01-02 14:54:01 - MobileNumber: 9811765, CallData: 02-01-2024 12:43:13
2024-01-02 14:54:01 - MobileNumber: 777764453, CallData: 02-01-2024 12:49:58
2024-01-02 14:54:01 - MobileNumber: 21322324, CallData: 02-01-2024 12:50:28
2024-01-02 14:54:01 - MobileNumber: 41145423, CallData: 02-01-2024 12:50:43
2024-01-02 14:54:01 - MobileNumber: 32212332, CallData: 02-01-2024 12:55:00
2024-01-02 14:54:01 - MobileNumber: 98989898, CallData: 02-01-2024 13:06:59
2024-01-02 14:54:01 - MobileNumber: 221221, CallData: 02-01-2024 13:07:12
2024-01-02 14:54:01 - MobileNumber: 221221, CallData: 02-01-2024 13:07:12
2024-01-02 14:54:01 - MobileNumber: 211112, CallData: 02-01-2024 13:10:42
2024-01-02 14:54:01 - MobileNumber: 23232323, CallData: 02-01-2024 14:20:20
